"Comment","Designator","Footprint","LCSC Part #"
"100n","C1,C2,C3,C4,C5","C_0402_1005Metric","C1525"
"LED","D1","LED_0603_1608Metric","C72043"
"Red","D2,D3","LED_0603_1608Metric","C2286"
"Yellow","D4,D5","LED_0603_1608Metric","C72038"
"Green","D6,D7","LED_0603_1608Metric","C72043"
"Blue","D8,D9","LED_0603_1608Metric","C72041"
"4.7k","R1,R2,R3,R4,R5,R6,R7,R10,R11","R_0402_1005Metric","C25900"
"10k","R8,R9","R_0402_1005Metric","C25744"
"AT24CS32","U1","SOIC-8_3.9x4.9mm_P1.27mm","C60583"
"TXS0108EPW","U2","TSSOP-20_4.4x6.5mm_P0.65mm","C17206"
"MCP23S17_SO","U3,U4","SOIC-28W_7.5x17.9mm_P1.27mm","C145413"
